Network          Next Hop            Metric LocPrf Weight Path

Route Distinguisher: 7303:646

*>i  10.122.31.96/27  181.88.172.212           0    100      0 ?

*>i  10.122.31.128/28 181.88.172.158           0    100      0 ?

*>i  10.122.31.144/29 181.88.172.183           0    100      0 ?

*>i  10.122.31.160/27 181.88.172.183           0    100      0 ?

*>i  10.122.31.192/27 181.88.172.183           0    100      0 ?

*>i  10.122.31.224/27 190.225.250.50           0    100      0 ?

*>i  10.122.32.0/27   181.88.172.158           0    100      0 ?

*>i  10.122.32.32/29  181.88.172.158           0    100      0 ?

*>i  10.122.32.40/29  181.89.6.38              0    100      0 ?

*>i  10.122.32.48/29  181.89.6.38              0    100      0 ?

*>i  10.122.32.128/29 181.88.172.181           0    100      0 ?

*>i  10.122.32.136/29 181.88.172.181           0    100      0 ?

*>i  10.122.32.144/29 181.88.172.181           0    100      0 ?

     Network          Next Hop            Metric LocPrf Weight Path

*>i  10.122.32.160/29 190.225.250.50           0    100      0 ?

*>i  10.122.32.176/29 181.88.172.183           0    100      0 ?

*>i  10.122.32.192/27 181.88.172.157           0    100      0 ?

*>i  10.122.32.224/29 181.88.172.134           0    100      0 ?

*>i  10.122.32.232/29 181.88.172.134           0    100      0 ?

*>i  10.122.32.240/29 181.88.172.158           0    100      0 ?

*>i  10.122.33.0/28   181.88.172.85            0    100      0 ?

*>i  10.122.33.16/28  190.225.250.50           0    100      0 ?

*>i  10.122.33.32/27  181.88.172.181           0    100      0 ?

*>i  10.122.33.64/27  181.88.172.85            0    100      0 ?

*>i  10.122.33.104/29 181.88.172.158           0    100      0 ?

*>i  10.122.33.112/28 181.88.172.85            0    100      0 ?

*>i  10.122.33.128/27 181.88.172.181           0    100      0 ?

*>i  10.122.33.160/27 181.88.172.158           0    100      0 ?

*>i  10.122.33.192/28 181.88.172.158           0    100      0 ?

*>i  10.122.33.208/28 181.88.172.158           0    100      0 ?

*>i  10.122.33.224/28 181.88.172.158           0    100      0 ?

*>i  10.122.34.0/27   181.88.172.157           0    100      0 ?

*>i  10.122.34.32/27  190.225.250.50           0    100      0 ?

*>i  10.122.34.64/27  181.88.172.183           0    100      0 ?

*>i  10.122.34.96/27  181.88.172.158           0    100      0 ?

*>i  10.122.34.128/27 181.88.172.183           0    100      0 ?

*>i  10.122.34.160/27 181.88.172.220           0    100      0 ?

*>i  10.122.34.192/27 181.88.172.158           0    100      0 ?

*>i  10.122.34.224/27 181.88.172.183           0    100      0 ?

*>i  10.122.35.16/29  181.89.6.35              0    100      0 ?

*>i  10.122.35.24/29  181.88.172.157           0    100      0 ?

*>i  10.122.35.32/29  181.88.172.157           0    100      0 ?

*>i  10.122.35.40/29  181.88.172.157           0    100      0 ?

*>i  10.122.35.64/28  181.88.172.183           0    100      0 ?

*>i  10.122.35.80/29  181.88.172.191           0    100      0 ?

*>i  10.122.35.88/29  181.88.172.157           0    100      0 ?

